No, Long, Short, Vmax, Length, Len[nano],Start,End,total
58,5253.21,5253.21,440.428,2.96e-07,296,7.76e-07,1.072e-06,194,268,5547.49
59,5254.42,5254.42,440.749,2.96e-07,296,7.76e-07,1.072e-06,194,268,5562.74
60,5278.45,5278.45,441.009,3.04e-07,304,7.68e-07,1.072e-06,192,268,5580.86
61,5279.53,5279.53,440.969,2.96e-07,296,7.68e-07,1.064e-06,192,266,5572.61
62,5266.87,5266.87,439.807,2.96e-07,296,7.68e-07,1.064e-06,192,266,5547.19
63,5252.93,5252.93,440.368,2.88e-07,288,7.68e-07,1.056e-06,192,264,5501.59
64,5193.21,5193.21,437.744,2.8e-07,280,7.68e-07,1.048e-06,192,262,5331.21
65,5188.98,5188.98,436.643,2.8e-07,280,7.68e-07,1.048e-06,192,262,5316.04
66,5200.4,5200.4,435.822,2.88e-07,288,7.68e-07,1.056e-06,192,264,5394.09
67,5191.23,5191.23,436.803,2.8e-07,280,7.76e-07,1.056e-06,194,264,5372.94
68,5243.12,5243.12,439.327,2.88e-07,288,7.76e-07,1.064e-06,194,266,5532.41
69,5254.56,5254.56,440.268,2.96e-07,296,7.76e-07,1.072e-06,194,268,5590.37
70,5171.42,5171.42,439.066,2.8e-07,280,7.76e-07,1.056e-06,194,264,5343.48
71,5270.76,5270.76,440.789,2.96e-07,296,7.68e-07,1.064e-06,192,266,5569.48
72,5206.29,5206.29,439.667,2.88e-07,288,7.68e-07,1.056e-06,192,264,5327.04
73,5198.72,5198.72,438.345,2.88e-07,288,7.68e-07,1.056e-06,192,264,5324.62
74,5207.41,5207.41,438.526,2.88e-07,288,7.68e-07,1.056e-06,192,264,5373.57
75,5199.12,5199.12,437.785,2.8e-07,280,7.68e-07,1.048e-06,192,262,5338.5
76,5269.64,5269.64,438.626,2.96e-07,296,7.68e-07,1.064e-06,192,266,5604.72
77,5251.85,5251.85,437.644,2.96e-07,296,7.68e-07,1.064e-06,192,266,5545.79
78,5258.72,5258.72,437.564,2.96e-07,296,7.68e-07,1.064e-06,192,266,5595.54
79,5258.82,5258.82,438.746,2.96e-07,296,7.76e-07,1.072e-06,194,268,5562.64
80,5186.44,5186.44,438.626,2.8e-07,280,7.76e-07,1.056e-06,194,264,5317.91
81,5177.97,5177.97,438.806,2.8e-07,280,7.76e-07,1.056e-06,194,264,5351.99
82,5229.42,5229.42,440.609,2.88e-07,288,7.76e-07,1.064e-06,194,266,5545.13
83,5237.11,5237.11,440.448,2.96e-07,296,7.76e-07,1.072e-06,194,268,5582.18
84,5172.82,5172.82,439.247,2.8e-07,280,7.76e-07,1.056e-06,194,264,5348.39
85,5263.23,5263.23,440.368,2.96e-07,296,7.68e-07,1.064e-06,192,266,5558.67
86,5259.88,5259.88,440.508,2.88e-07,288,7.68e-07,1.056e-06,192,264,5556.29
87,5262.15,5262.15,438.626,2.96e-07,296,7.68e-07,1.064e-06,192,266,5565.44
88,5269.7,5269.7,437.865,2.96e-07,296,7.68e-07,1.064e-06,192,266,5580.24
89,5189.06,5189.06,436.322,2.8e-07,280,7.68e-07,1.048e-06,192,262,5319.63
90,5176.34,5176.34,436.763,2.8e-07,280,7.76e-07,1.056e-06,194,264,5296.68
91,5191.69,5191.69,437.544,2.8e-07,280,7.76e-07,1.056e-06,194,264,5387.39
92,5242.7,5242.7,440.388,2.88e-07,288,7.76e-07,1.064e-06,194,266,5556.67
93,5239.23,5239.23,440.829,2.88e-07,288,7.76e-07,1.064e-06,194,266,5575.55
94,5276.39,5276.39,441.67,2.96e-07,296,7.68e-07,1.064e-06,192,266,5559.55
95,5259.68,5259.68,440.649,2.96e-07,296,7.68e-07,1.064e-06,192,266,5521.86
96,5266.65,5266.65,440.729,2.96e-07,296,7.68e-07,1.064e-06,192,266,5555.77
97,5196.49,5196.49,438.546,2.8e-07,280,7.68e-07,1.048e-06,192,262,5318.57
98,5261.43,5261.43,439.667,2.96e-07,296,7.68e-07,1.064e-06,192,266,5538.8
99,5267.31,5267.31,438.966,3.04e-07,304,7.68e-07,1.072e-06,192,268,5582
100,5195.73,5195.73,437.164,2.8e-07,280,7.68e-07,1.048e-06,192,262,5367.34
101,5253.67,5253.67,437.825,2.96e-07,296,7.68e-07,1.064e-06,192,266,5502.81
102,5185.82,5185.82,435.902,2.8e-07,280,7.68e-07,1.048e-06,192,262,5318.37
103,5181.33,5181.33,436.423,2.8e-07,280,7.76e-07,1.056e-06,194,264,5313.28
104,5268.32,5268.32,439.247,3.04e-07,304,7.76e-07,1.08e-06,194,270,5574.45
105,5257.62,5257.62,440.208,2.96e-07,296,7.76e-07,1.072e-06,194,268,5590.82
